Designator,Mid X,Mid Y,Rotation,Layer
C1,122.74,-116.15,180.0,bottom
C2,131.88,-110.84,270.0,bottom
D1,130.62,-104.04,0.0,bottom
J1,106.29,-112.96,90.0,bottom
J3,124.965,-122.34,270.0,top
J4,143.37,-112.63,0.0,bottom
L1,122.26,-103.96,180.0,bottom
R1,128.97,-110.89,270.0,bottom
R2,128.96,-116.47,270.0,bottom
U1,122.66635,-110.91,180.0,bottom
